crowdCount,capacity,temperature,weather,entryRate,exitRate,securityStaff,emergencyExits,risk
12613,25795,36,Sunny,692,273,56,7,High
12676,10860,30,Sunny,731,67,83,12,High
31108,86820,29,Sunny,757,311,238,14,High
34259,64886,13,Stormy,431,40,361,3,High
9708,16265,20,Stormy,430,507,408,3,Medium
55922,92386,22,Sunny,195,258,53,7,Low
37985,47194,18,Stormy,938,614,58,11,High
115490,97498,13,Rainy,373,786,86,6,High
20396,54131,21,Stormy,964,280,228,15,High
16843,70263,18,Sunny,616,615,337,8,Low
8511,26023,22,Sunny,387,675,363,8,Low
57218,51090,35,Sunny,532,403,171,6,High
65072,77221,47,Rainy,589,806,406,9,Medium
32082,74820,22,Sunny,900,511,384,11,High
11181,10769,48,Sunny,731,601,218,7,High
76051,69735,37,Sunny,205,813,108,6,High
78316,72955,28,Sunny,890,93,267,5,High
86670,74925,33,Rainy,107,374,342,8,High
30413,77969,28,Stormy,614,895,98,5,Medium
14825,15311,22,Rainy,993,558,496,6,High
58620,93104,22,Stormy,31,351,453,6,Low
68058,63707,37,Sunny,459,848,304,2,High
89373,95305,11,Sunny,181,416,349,2,High
38418,38693,19,Sunny,392,434,51,4,High
70017,81932,31,Sunny,143,753,106,15,Medium
10841,35658,22,Sunny,435,102,58,12,High
68664,94478,18,Rainy,34,857,412,4,Medium
35037,28431,42,Sunny,512,623,120,3,High
15015,12747,23,Rainy,194,421,263,13,High
10348,69150,29,Sunny,94,441,251,3,Low
21925,75725,24,Sunny,576,687,417,7,Low
23804,94654,41,Sunny,772,168,87,14,High
42792,45773,42,Sunny,153,23,211,2,High
80567,77435,26,Sunny,872,382,423,7,High
23111,66886,33,Sunny,919,234,47,6,High
52358,76803,39,Sunny,688,514,289,7,Medium
44326,41551,22,Sunny,421,82,447,6,High
20168,21394,25,Sunny,233,258,245,8,Medium
57228,79092,11,Rainy,229,520,96,2,High
10818,13890,26,Rainy,188,612,242,14,Medium
35330,51606,41,Sunny,640,225,391,4,High
39813,90038,17,Rainy,442,982,186,7,Medium
72962,97313,12,Rainy,274,611,303,2,High
18403,20627,21,Rainy,963,550,211,14,High
20752,18792,29,Sunny,438,956,108,12,High
69839,83969,25,Sunny,671,826,51,12,Medium
51691,53001,23,Rainy,425,948,156,8,High
24587,86552,25,Sunny,462,997,175,5,Low
21381,33897,42,Stormy,736,229,269,4,High
8653,78148,39,Rainy,206,849,114,11,Low
12846,33483,21,Sunny,563,736,36,10,Low
54774,58555,24,Sunny,62,230,136,2,High
33692,27159,27,Sunny,489,398,490,9,High
19281,90077,37,Sunny,452,563,352,2,Low
25794,45920,32,Sunny,339,656,330,14,Low
78669,77121,23,Sunny,260,51,29,15,High
26596,79479,39,Sunny,816,685,99,6,Medium
73447,99475,42,Sunny,899,882,153,11,Medium
27778,29457,24,Stormy,792,292,451,9,High
61887,76557,16,Sunny,976,67,222,7,High
27571,87189,24,Stormy,934,823,135,8,Medium
45249,88953,47,Stormy,132,843,470,12,Medium
63080,62995,20,Sunny,888,546,239,9,High
37426,50757,38,Rainy,396,82,272,14,High
2087,19692,40,Sunny,348,894,188,7,Low
54371,55758,34,Rainy,787,932,354,12,High
11587,82409,33,Sunny,357,138,335,7,Low
77767,81211,28,Sunny,38,608,224,12,High
25195,75697,11,Sunny,984,851,317,7,Low
56561,47065,31,Sunny,44,435,391,6,High
22288,42606,29,Sunny,527,957,267,9,Low
10249,21534,42,Sunny,405,674,384,14,Low
13668,50397,17,Sunny,632,703,484,3,Low
4973,11016,34,Sunny,303,134,90,8,Low
110581,99789,18,Sunny,598,76,175,5,High
81712,65591,43,Sunny,358,15,121,2,High
52257,99812,32,Sunny,156,646,32,14,Low
20476,33247,14,Sunny,76,323,484,6,Low
31912,34300,34,Rainy,913,335,290,4,High
94079,84065,17,Sunny,529,574,311,5,High
72568,92798,25,Rainy,131,587,239,8,Medium
10602,19268,24,Sunny,349,835,34,6,Medium
55617,96807,10,Stormy,184,515,257,15,Medium
19965,22185,31,Sunny,909,91,136,5,High
7643,73704,12,Sunny,700,608,350,2,Low
78635,96779,47,Sunny,606,11,75,7,High
24982,49099,23,Sunny,460,213,370,12,Low
18818,18571,45,Sunny,566,671,151,11,High
9942,48044,27,Sunny,145,814,245,7,Low
47528,61214,27,Stormy,864,413,327,8,High
46520,71228,12,Sunny,25,112,494,2,Low
49468,58984,19,Sunny,342,545,413,15,Medium
8864,50774,48,Rainy,204,377,241,5,Medium
9639,12568,10,Sunny,505,221,192,13,High
54132,72592,36,Rainy,18,586,359,10,Medium
57765,77563,36,Sunny,837,970,304,13,Medium
10079,12695,20,Rainy,343,218,328,15,Medium
51087,58190,14,Sunny,342,772,176,11,Medium
15650,15258,16,Rainy,336,906,170,7,High
40019,97538,28,Rainy,24,126,204,3,Medium
